director_key,director_name
faf485490d989b65f7d3680e308d4724,Theodore Witcher
afb5866b0363eaaf3dd31ed1e6c7f39a,Zoe Lister-Jones
e45a25ff0a7250ea687738d95c587093,Jim Field Smith
0638be11b2e1efa5a3b62a9ef22c32e8,Kyle Patrick Alvarez
ea6cbecde6d95d4bfad5c7a0774f5d21,Troy Nixey
5596d886bf79a0a42d70e38880ccc6f6,M.J. Bassett
d6088b72c90dd896b8d801fa08f3f995,Mysskin
da67dd5a51229fd8b3cb9f86bf7be0a0,Kazuya Murata
1577c19a25741d232711817298e1808c,Stuart Heisler
5639c5990913a843e5c3b17535742050,Saurav Palodhi
3353553da6a1320d5f27d75371ede737,Femi D. Ogunsanwo
c2cf575f33c93429d7442113ddc8d52c,Wael Ehsan
eae9decfe9f89e49730b44b2bbf03199,Kıvanç Baruönü
ed98365069f20860eb9469087af1f35e,Tamer Bassiouni
b035e7dae4f629ca4dc464bac7de9b79,Ahmed Al-Badry
30072cdf5826c89697c4640beb5e2709,Sachin Kamlakar Khot
e4efcac56d87b7657760aae75b7f2ab1,Arthur Muhammad
9c4fed8e2987a64931e11a699d9219a0,Gregory Caruso
cf62accea72d201b7b7e21d435379171,Jami
c7ce6078f057bb98ef3c9d1a6c9b27b5,Kenneth Gyang
872852f0b7270bf6be7c7021ab45b4f1,Datta Mohan Bhandare
2ea4254d7beaed7a8271137a1c737dea,"Cecilia Atán, Valeria Pivato"
03149ede5940f83ed3f0412b36c88392,Massimiliano Camaiti
c0249d102194fd6d6ce0e48cd141ea2a,Atul Sabharwal
f02f253bf1e1461e9934344bd7b6299d,Josh Mendoza
192195a06031c2e90eeca459d9127a2e,Soham Shah
a55121379aafb5926373323dd66d4557,Hamad AlSarraf
525bb2cb211c6065a57443b2e3cacb6b,Sherif Mandour
f39edd892ffab79faf448565cd99466c,Michael Drumm
32e04f3529a3d75c8ffa30b54c084311,Keith L. Smith
12db1d1e55457904e7b481ec3ef3a8c9,Marek Losey
c7fdd3429204e8398d756bca5c25f22b,Uraaz Bahl
dbe452ef771a1e33a64e8f4ac18662ab,"MIKIKO, Daito Manabe"
333a07edce10daa8e45f3a3e8202e118,Tim Van Someren
b23715dcf918cd214c24281fa67cb8f0,Tommy Wirkola
3977483843f996f0fdb4200fc4511c2b,Huang Hsin-Yao
2f1d630207d34cc9bcbab18b6bd0f6ad,Helena Bergström
d91f9d313b785694f6027fc21e4fa502,Leli Maki
60c8bc924c085c61bb751ca0f5ce44ac,Nikhil Nagesh Bhat
fe232c4129fb072c4f34855da1210c46,Mike Ezuruonye
8afe760c047abe0dbeb7c1d3e4a0729d,Lucas Figueroa
47d555ae4086f10a6d4448e92534549d,Matheus Souza
ecfa5f278706acd2db01e0d0a038bcbd,Myriam Aziza
8a5a09e5f9a3f4428456f397f109f06c,Erol Özlevi
30c0bd3cbaec72aacbef24574ed841d8,Mateo Gil
02d0371c6c0b759080557bf249f3da60,Sivaroj Kongsakul
e16a444c6b80cc7e41e7e79772abf502,"Pedro de Echave García, Pablo Azorín Williams"
7c82426248980307be33b76cbbb71371,Evgeny Afineevsky
8a62f96177e40e446a31a3175456bc22,"Bill Guttentag, Michael Ware"
0fe5d2dff41f2521febd3497204e8cf7,"Kireet Khurana, Padmakumar Narasimhamurthy"
e561f0f685387ec59861132343947730,Rush Sturges
176509e7aed487fe8a5d9b63828f796a,Gaspar Antillo
055422a4614ae0919c74fecf831fb98b,Pablo Giorgelli
2b9998d6d8126fd5cb63db1e5883fe43,Ulrike Kofler
23d5ec18c944b76645fe1b29669a73de,Alessio Cremonini
9f80362733404e5c8be6cde2e1c9fcad,Rod Cabatana Marmol
417ef4895c0cdd7cebc7937d1feb1a96,Vijay Yelakanti
a41d778f4c02f03445ecfa17b9d0a30f,Jim Mickle
13b915f9e2e09e02c6f3417b9cfbb719,Olaf de Fleur
9877d24a34035c9b26de8aa86e77f892,Andrew C. Erin
84ce90e646df1ab685061a49de192c30,He Xiaofeng
1c384f02324a5366369cfd6d96920116,Bo Burnham
c2b8d6aa89debb2ac27e0ee0d3e3f887,Judah Friedlander
